,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,name,rgb,is_trans
0,0,0,0,0,-1,[Unknown],0033B2,f
1,1,1,1,1,0,Black,05131D,f
2,2,2,2,2,1,Blue,0055BF,f
3,3,3,3,3,2,Green,237841,f
4,4,4,4,4,3,Dark Turquoise,008F9B,f
5,5,5,5,5,4,Red,C91A09,f
6,6,6,6,6,5,Dark Pink,C870A0,f
7,7,7,7,7,6,Brown,583927,f
8,8,8,8,8,7,Light Gray,9BA19D,f
9,9,9,9,9,8,Dark Gray,6D6E5C,f
10,10,10,10,10,9,Light Blue,B4D2E3,f
11,11,11,11,11,10,Bright Green,4B9F4A,f
12,12,12,12,12,11,Light Turquoise,55A5AF,f
13,13,13,13,13,12,Salmon,F2705E,f
14,14,14,14,14,13,Pink,FC97AC,f
15,15,15,15,15,14,Yellow,F2CD37,f
16,16,16,16,16,15,White,FFFFFF,f
17,17,17,17,17,17,Light Green,C2DAB8,f
18,18,18,18,18,18,Light Yellow,FBE696,f
19,19,19,19,19,19,Tan,E4CD9E,f
