,id,name,parent_id
383,661,Little Robots,504.0
384,662,Princess Castle,504.0
385,663,Rattles,504.0
386,664,Toolo,504.0
387,665,Western,504.0
388,666,Zooters,504.0
389,667,Fantastic Beasts,246.0
390,668,Scala,
391,669,Overwatch,
392,670,The LEGO Movie II,578.0
393,671,Forma,
394,672,Creator 3-in-1,22.0
395,673,Creator Expert,22.0
396,674,Early Creator,22.0
397,675,The LEGO Movie II,535.0
398,676,Hidden Side,
399,677,Disney Series 2,535.0
400,679,Mars Exploration,52.0
401,680,Stranger Things,
402,681,Series 19 Minifigures,535.0
403,682,Trolls: World Tour,
404,683,LEGO Originals,
405,684,DC Super Heroes,535.0
406,685,Galidor,
407,686,Chinese Traditional Festivals,
408,687,Frozen,608.0
409,688,DOTS,
410,689,Minions,
411,690,Super Mario,
412,691,Harry Potter and Fantastic Beasts Series 2,535.0
413,692,Series 20 Minifigures,535.0
414,693,Monkie Kid,
415,694,Brick Sketches,
416,695,Super Heroes DC,
417,696,Super Heroes Marvel,
418,697,Batman,695.0
419,698,UCS,697.0
420,699,Constraction,695.0
421,700,Justice League,695.0
422,701,Superman,695.0
423,702,Avengers,696.0
424,703,Constraction,696.0
425,704,Guardians of the Galaxy,696.0
426,705,Iron Man,696.0
427,706,Spider-Man,696.0
428,707,X-Men,696.0
429,708,The LEGO Batman Movie,697.0
430,709,LEGO Art,
431,710,Harry Potter,207.0
432,711,The LEGO Batman Movie Series 2,535.0
433,712,Series 21 Minifigures,535.0
434,713,VIDIYO,
435,714,Looney Tunes,535.0
436,715,Marvel,535.0
437,716,Modulex,
438,717,Speed Racer,
439,718,Series 22 Minifigures,535.0
440,719,BrickLink Designer Program,
441,720,The Muppets,535.0
442,721,Icons,
443,722,Jurassic World,504.0
444,724,Avatar,
445,725,Series 23 Minifigures,535.0
